n_in_net,obs_H,mean_null,sd_null,z,p,direction,region,condition,cohort
23,1.23618628325541,2.67371928253968,0.23648067350998,-6.0788603903549,0,confined,DLPFC,AD,ROSMAP
27,2.13433611319445,2.68708028927234,0.224414518183112,-2.46304998693031,0.0158,confined,DLPFC,control,ROSMAP
16,0.337290066617014,2.22479640902244,0.294822095223391,-6.40218753270589,0,confined,HCN,AD,ROSMAP
17,0.951994081908783,2.2801892272679,0.258350097043087,-5.14106694969657,0,confined,HCN,control,ROSMAP
15,1.05298157513027,2.30261121768708,0.260049361199678,-4.80535555554503,4e-04,confined,PCC,AD,ROSMAP
17,1.27720181120226,2.07476300222934,0.30302320255157,-2.63201360262619,0.0176,confined,PCC,control,ROSMAP
21,1.84546297252333,2.55993050821901,0.327746268840578,-2.17994102029949,0.031,confined,TC,AD,Mayo
24,2.288320189106,2.68037240040612,0.227331907654839,-1.72458065981382,0.0902,confined,TC,control,Mayo
23,2.01645811782018,3.00755641363129,0.20004723345643,-4.95432143042842,0,confined,CRB,AD,Mayo
24,2.02042604148638,2.8475122083368,0.219556213711755,-3.76708157272316,8e-04,confined,CRB,control,Mayo
