metric,n_gaba,med_gaba,med_bg,W,p,region,condition,cohort
degree,23,198,11,76607.5,3.33664187425168e-05,DLPFC,AD,ROSMAP
pagerank,23,0.00037134902003906,0.000146890884452123,67228.5,0.0089008047843598,DLPFC,AD,ROSMAP
kcore,23,167,8,77340,1.92236511705304e-05,DLPFC,AD,ROSMAP
degree,27,105,11,101607.5,0.00476514047890868,DLPFC,control,ROSMAP
pagerank,27,0.000221824921504495,0.0001108733493731,104260,0.00179239751273561,DLPFC,control,ROSMAP
kcore,27,86,8,103275.5,0.00253515131178128,DLPFC,control,ROSMAP
degree,16,255,21,44643.5,0.000153629185609372,HCN,AD,ROSMAP
pagerank,16,0.000413792553771926,0.000169852689486683,39847,0.0085400754952326,HCN,AD,ROSMAP
kcore,16,184.5,17,44971.5,0.000109925082780873,HCN,AD,ROSMAP
degree,17,232,18,63500.5,0.000260538913821092,HCN,control,ROSMAP
pagerank,17,0.000304309923886824,0.000121758460096916,58426,0.00533349796509295,HCN,control,ROSMAP
kcore,17,180,14,65252.5,7.78559684497293e-05,HCN,control,ROSMAP
degree,15,56,14,39302,0.24892731458561,PCC,AD,ROSMAP
pagerank,15,0.000216820222960506,0.00014087188690778,39131.5,0.264319532354618,PCC,AD,ROSMAP
kcore,15,46,11,39176.5,0.258997742546492,PCC,AD,ROSMAP
degree,17,26,17,41612,0.504597403235609,PCC,control,ROSMAP
pagerank,17,0.000212175237457059,0.000140164657140575,45023,0.191887144220646,PCC,control,ROSMAP
kcore,17,22,13,40961.5,0.585374465381316,PCC,control,ROSMAP
degree,21,496,11,46938.5,6.30259640627645e-05,TC,AD,Mayo
pagerank,21,0.000711682831091202,0.00024434433006357,44814,0.000571870770293069,TC,AD,Mayo
kcore,21,284,9,45613,0.000236410736086417,TC,AD,Mayo
degree,24,189.5,13,84439.5,2.85872160969973e-05,TC,control,Mayo
pagerank,24,0.00032204690371035,0.000147556819303483,87423,3.85973399918057e-06,TC,control,Mayo
kcore,24,139,10,81566.5,0.000171026259711733,TC,control,Mayo
degree,23,55,11,160363.5,0.000410109562782265,CRB,AD,Mayo
pagerank,23,0.000129906657130513,6.39925935501301e-05,164777,0.000117641201400106,CRB,AD,Mayo
kcore,23,13,9,152938,0.00282068644829139,CRB,AD,Mayo
degree,24,107,12,180907.5,1.76686016752483e-07,CRB,control,Mayo
pagerank,24,0.000229969859838773,6.58540683755127e-05,175665,1.46522633897481e-06,CRB,control,Mayo
kcore,24,64.5,10,175678.5,1.3783629289971e-06,CRB,control,Mayo
