node,condition,n_regions,n_modules,module_list,stability_score,symbol,subpathway
ENSG00000011677,AD,4,3,"4,3,2",0.333333333333333,GABRA3,gabaa_receptors
ENSG00000011677,control,4,2,"5,3",0.5,GABRA3,gabaa_receptors
ENSG00000021645,AD,3,2,"4,2",0.5,NRXN3,synapse_organizers
ENSG00000021645,control,4,3,"5,4,3",0.333333333333333,NRXN3,synapse_organizers
ENSG00000022355,AD,5,3,"3,4,11",0.333333333333333,GABRA1,gabaa_receptors
ENSG00000022355,control,5,4,"4,3,2,6",0.25,GABRA1,gabaa_receptors
ENSG00000100362,AD,3,3,"5,73,2",0.333333333333333,PVALB,interneuron_markers
ENSG00000100362,control,2,2,"2,3",0.5,PVALB,interneuron_markers
ENSG00000101438,AD,5,3,"4,6,2",0.333333333333333,SLC32A1,transport
ENSG00000101438,control,5,4,"5,4,6,3",0.25,SLC32A1,transport
ENSG00000104327,AD,4,3,"3,4,2",0.333333333333333,CALB1,interneuron_markers
ENSG00000104327,control,4,4,"5,4,6,3",0.25,CALB1,interneuron_markers
ENSG00000109158,AD,4,2,"4,3",0.5,GABRA4,gabaa_receptors
ENSG00000109158,control,4,4,"5,4,3,6",0.25,GABRA4,gabaa_receptors
ENSG00000113327,AD,5,3,"4,3,2",0.333333333333333,GABRG2,gabaa_receptors
ENSG00000113327,control,5,5,"5,4,3,2,6",0.2,GABRG2,gabaa_receptors
ENSG00000128683,AD,5,4,"3,4,6,2",0.25,GAD1,synthesis
ENSG00000128683,control,5,4,"4,6,2,3",0.25,GAD1,synthesis
ENSG00000131089,AD,5,3,"4,3,11",0.333333333333333,ARHGEF9,synapse_organizers
ENSG00000131089,control,5,4,"5,4,3,6",0.25,ARHGEF9,synapse_organizers
ENSG00000132164,AD,1,1,15,1,SLC6A11,transport
ENSG00000132164,control,1,1,8,1,SLC6A11,transport
ENSG00000136750,AD,5,4,"3,4,6,2",0.25,GAD2,synthesis
ENSG00000136750,control,5,4,"4,6,2,3",0.25,GAD2,synthesis
ENSG00000136928,AD,4,3,"4,3,2",0.333333333333333,GABBR2,gabab_receptors
ENSG00000136928,control,4,3,"5,3,1",0.333333333333333,GABBR2,gabab_receptors
ENSG00000145864,AD,5,3,"3,4,11",0.333333333333333,GABRB2,gabaa_receptors
ENSG00000145864,control,5,5,"5,4,3,2,6",0.2,GABRB2,gabaa_receptors
ENSG00000146469,control,1,1,20,1,VIP,interneuron_markers
ENSG00000150995,AD,5,3,"4,3,2",0.333333333333333,SLC6A13,transport
ENSG00000150995,control,5,4,"5,4,3,2",0.25,SLC6A13,transport
ENSG00000151834,AD,1,1,15,1,GABRA2,gabaa_receptors
ENSG00000151834,control,3,3,"104,4,8",0.333333333333333,GABRA2,gabaa_receptors
ENSG00000157005,AD,2,2,"4,1",0.5,SST,interneuron_markers
ENSG00000157103,AD,1,1,2,1,SLC6A1,transport
ENSG00000157103,control,2,2,"50,3",0.5,SLC6A1,transport
ENSG00000163285,AD,4,4,"1,8,21,15",0.25,GABRG1,gabaa_receptors
ENSG00000163285,control,5,3,"2,8,4",0.333333333333333,GABRG1,gabaa_receptors
ENSG00000163288,AD,1,1,15,1,GABRB1,gabaa_receptors
ENSG00000163288,control,2,2,"36,8",0.5,GABRB1,gabaa_receptors
ENSG00000166206,AD,5,2,"4,3",0.5,GABRB3,gabaa_receptors
ENSG00000166206,control,5,4,"5,4,3,6",0.25,GABRB3,gabaa_receptors
ENSG00000169992,AD,1,1,4,1,NLGN2,synapse_organizers
ENSG00000169992,control,2,2,"9,7",0.5,NLGN2,synapse_organizers
ENSG00000171723,AD,2,2,"4,7",0.5,GPHN,synapse_organizers
ENSG00000171723,control,1,1,10,1,GPHN,synapse_organizers
ENSG00000172137,control,2,2,"28,6",0.5,CALB2,interneuron_markers
ENSG00000179915,AD,3,3,"4,2,11",0.333333333333333,NRXN1,synapse_organizers
ENSG00000179915,control,3,2,"5,6",0.5,NRXN1,synapse_organizers
ENSG00000182256,AD,2,1,4,1,GABRG3,gabaa_receptors
ENSG00000182256,control,2,2,"5,3",0.5,GABRG3,gabaa_receptors
ENSG00000183044,control,2,2,"37,1",0.5,ABAT,catabolism
ENSG00000186297,AD,4,4,"4,7,3,2",0.25,GABRA5,gabaa_receptors
ENSG00000186297,control,5,5,"5,16,13,6,3",0.2,GABRA5,gabaa_receptors
ENSG00000187094,AD,3,2,"4,3",0.5,CCK,interneuron_markers
ENSG00000187094,control,3,2,"5,3",0.5,CCK,interneuron_markers
ENSG00000187730,AD,5,4,"4,3,2,11",0.25,GABRD,gabaa_receptors
ENSG00000187730,control,5,5,"5,4,3,2,8",0.2,GABRD,gabaa_receptors
ENSG00000196338,control,2,2,"2,8",0.5,NLGN3,synapse_organizers
ENSG00000204681,AD,1,1,4,1,GABBR1,gabab_receptors
ENSG00000204681,control,1,1,4,1,GABBR1,gabab_receptors
