region1,region2,jaccard,n_shared_pairs,condition
DLPFC,HCN,0.441860465116279,91,AD
DLPFC,PCC,0.535211267605634,105,AD
DLPFC,TC,0.261538461538462,210,AD
DLPFC,CRB,0.201834862385321,171,AD
HCN,PCC,0.563636363636364,55,AD
HCN,TC,0.392405063291139,91,AD
HCN,CRB,0.344262295081967,66,AD
PCC,TC,0.524590163934426,105,AD
PCC,CRB,0.294117647058824,78,AD
TC,CRB,0.155844155844156,136,AD
DLPFC,HCN,0.545454545454545,120,control
DLPFC,PCC,0.595744680851064,136,control
DLPFC,TC,0.212765957446809,231,control
DLPFC,CRB,0.224489795918367,190,control
HCN,PCC,0.590909090909091,91,control
HCN,TC,0.308641975308642,105,control
HCN,CRB,0.327868852459016,78,control
PCC,TC,0.271604938271605,136,control
PCC,CRB,0.274509803921569,91,control
TC,CRB,0.16,171,control
